itemid,shopid
2623670951,23952153
3938503802,76620705
4940645580,13506356
1048088468,63515034
7632537152,192917696
2166288803,94203190
5713638715,11439947
4117592215,15094459
1844478258,62318
5337613793,205957117
1055002992,31090951
2006098959,27640122
404153935,30056483
2697109150,24855705
1154135026,62799662
1539899764,37714211
644522987,4735742
1539851562,37714211
5856335864,201216
1014763510,720576
63056109,915010
4641954709,191315503
237190270,9837152
5240368223,4077474
3638008660,162112071
1415439301,4077474
5409815917,62956347
4745182278,4077474
2903972516,183038863
5831404131,91906965
12341559671,195455930
2129350245,127156054
13129911192,563643009
6034431021,36092728
4208794362,11868573
2201072703,6936785
7532028281,255365082
7532457603,59078646
6862106677,14318452
7820649813,82159201
5008634161,12094639
8435235827,39372120
14011807524,23747790
1718161962,106507210
1807303767,5387060
8517895029,51925611
1915012712,126703085
7821944772,6986133
12638193828,33654395
2526877154,2857241
13535940235,100269356
10040788673,522985763
2009857033,121758157
2468367872,65654070
2008367273,121758157
6776440276,83157917
2315057627,121758157
1974822543,121758157
2131044276,121758157
8208886547,27374039
2710896375,92166242
7111258093,176453244
7752169853,274464870
2262677519,140143682
7303394031,92166242
3980938915,29063476
2382275165,140143682
6502500211,189734943
66324101,6943025
3337922771,232770194
13622657349,177181113
2363909251,88184088
4951070697,141880186
6951066425,141880186
4654033738,16322753
5448232854,257437972
5219914341,58286940
7051069790,141880186
4418824376,228706097
1550012851,88184088
7203555763,18478531
5626883090,90331033
5111932571,211594961
5083399390,399029518
2128797211,140948606
2175120021,86518397
2128838616,140948606
6008556932,11015157
1912924784,11184349
5333640250,26230850
862868312,44857616
6349082901,272549441
5627581681,220188667
1953397664,88184088
2716483516,88184088
11740154445,7258440
3736131251,70117521
1998456149,10445107
2407550490,10741835
3284409655,30348076
7238818996,4077474
1434574564,11149389
5933190781,5090340
2881139438,84525623
5512639835,3809228
3344255145,288940993
7546486572,54653327
6379315461,4002227
2379044270,38474314
2114097090,38474314
6263020730,279596829
4764429310,11348313
4055555089,11348313
5762794023,11348313
2235220872,16421917
159384703,3957020
6038611673,275242587
730218349,30089233
3885412436,123468412
8489134872,34201704
13843880044,35217424
4569666309,358412451
2176378748,36104289
2786246312,52073454
7745087114,257014725
6859460058,21672479
2416335035,52073454
6437994348,273133375
2361883806,137780321
2899520746,3891529
13639134709,107395930
1162703096,1006291
5447819887,190965698
517732355,27900977
5706694991,79313536
4547394244,190965698
1930740515,34286955
432870943,31523433
1431443323,58834381
4115939329,56621232
7938116971,8254883
3512867643,22117300
5738117607,8254883
3932587564,8254883
1797208710,22117300
1331909269,3891529
7517734362,22117300
3014313051,83709452
6636812936,8254883
3170108989,4222011
6817399887,6170891
7418839874,70145251
4768238523,14648433
2487373638,39910038
9535606536,149897318
7511465984,99496847
5357097764,3611370
7084297722,274515538
1254224718,11659312
8945550998,255298152
15200146456,486939335
11660014277,8790093
1802367461,113026948
4934708652,78892667
2125144276,111659167
6247229499,297078674
1444054217,50620995
1444062409,50620995
1895880941,3741944
11407543981,204470082
64053662,8598415
7545526141,5981492
2438140391,121579715
1513314042,75923806
3845628922,168686019
8722011040,237311095
3632462095,205258785
68755995,9345788
7816906675,20379457
5550175368,124271870
13736535552,60085627
4351815209,6946148
4605285683,15467735
8743777693,36715207
1512850809,91674459
5256474807,110782560
7605006341,110782560
888172416,29618259
1957723272,29618259
7843357464,24667787
11573531009,374471028
6759361870,202000191
4509238902,25681835
3126269586,222788354
3631987727,222788354
5052703464,241449216
460502269,30925845
1252558107,12234997
1859724632,71147033
679891550,43226648
4253323038,306174184
2670584281,119157255
8934282771,410983823
1916988779,35365420
1278666118,34315593
3221871097,39183476
1601460819,94760007
8812396600,275242587
8910590939,201131148
275108899,9640558
3338563614,4493320
1216927666,29011601
7833027899,4493320
5042539253,65871710
7713641120,183386815
886980343,29011601
497210455,15357980
426475985,14468686
1244184387,46322541
1318707564,46322541
2221731870,64925304
1687453379,45387027
13529227595,46574615
3030995501,165755647
12431466712,380900828
3006240025,17531831
9143809895,36715207
8105019094,43580516
10401411076,189074669
9712178272,66190975
5718240480,214553863
5218967214,214553863
1459128142,85704866
1396143544,83510693
5459689119,328130871
4105869362,13112684
924299183,10635879
4408087050,83510693
602824791,11236947
5857695409,301796352
